Getting repos in ODI org...
there are this many repos: 335
theodi/comment-card,"A simple interface for non-technical users — both authenticated and pseudonymous — to provide feedback for your GitHub-hosted project",2014-07-08 09:44:31 UTC,2016-05-19 19:11:01 UTC
theodi/GIt-trial-Day2,"Some basic interactive R commands for BIS Day 2 training",2014-07-10 11:13:32 UTC,2014-07-10 11:13:48 UTC
theodi/csvlint-stats,"Getting to know D3 through the medium of CSVlint stats",2014-07-29 13:57:52 UTC,2015-04-04 12:29:29 UTC
theodi/doc2data,"Extract data from any google spreadsheet to csv and json",2014-07-30 10:03:05 UTC,2015-04-16 15:24:52 UTC
theodi/orpi-analysis,"R scripts to explore the train arrival log files",2014-08-05 10:31:13 UTC,2014-09-02 10:26:11 UTC
theodi/orpi-nrod-store,"TBD",2014-08-05 10:32:10 UTC,2014-08-12 21:48:31 UTC
theodi/orpi-nightly-crunch,"Collection of scripts calculating the open rail performance index",2014-08-18 11:00:16 UTC,2014-08-18 11:00:16 UTC
theodi/vending-machine,"connection script for Vending Machine",2014-08-22 13:11:19 UTC,2014-08-22 13:58:43 UTC
theodi/data-publishing-template,"Provides a template for publishing a high quality open dataset",2014-09-02 09:40:28 UTC,2017-11-08 17:35:39 UTC
theodi/certificate-factory,"Automagically generate Open Data Certificates from a CKAN Dataset or Data.gov.uk atom feed.",2014-09-10 13:29:27 UTC,2016-07-18 13:15:23 UTC
theodi/octopub,"Publish data easily, quickly and correctly",2014-10-06 11:18:25 UTC,2018-08-04 13:28:12 UTC
theodi/zeroclickinfo-spice,"DuckDuckGo instant answer plugins based on JavaScript APIs",2014-10-06 12:13:54 UTC,2014-11-28 19:55:25 UTC
theodi/raygun4ruby,"The Ruby & Ruby on Rails provider for Raygun.io",2014-10-24 10:00:50 UTC,2014-10-24 10:02:29 UTC
theodi/open-business,"Analysis for some survey responses",2014-10-30 11:52:11 UTC,2015-05-19 10:35:57 UTC
theodi/odicourses,"Some temporary stuff",2014-11-28 14:47:47 UTC,2016-01-21 16:59:06 UTC
theodi/chef-serverdensity,"Chef recipe to automatically deploy the Server Density agent, and start monitoring",2014-12-10 13:38:38 UTC,2014-12-10 14:11:30 UTC
theodi/chef-rbenv,"Chef cookbook for rbenv. Manages rbenv and its installed rubies. Several LWRPs are also defined.",2014-12-16 15:11:09 UTC,2017-02-07 11:00:36 UTC
theodi/eventbrite-client.rb,"A tiny EventBrite API client for ruby",2014-12-22 11:53:42 UTC,2014-12-22 11:53:42 UTC
theodi/odi-metrics-tasks,"Resque tasks for ODI metrics collection",2014-12-24 12:11:19 UTC,2016-01-13 10:35:41 UTC
theodi/jiffybag,"A safer environment variable loader that wraps around dotenv",2015-01-06 18:21:34 UTC,2015-01-07 10:36:28 UTC
theodi/interactive-map,"The ODI interactive map with dots",2015-01-30 16:11:35 UTC,2015-01-30 16:09:17 UTC
theodi/power-on-snack-test,"Crisp Machine API",2015-02-03 11:01:11 UTC,2015-03-11 09:59:50 UTC
theodi/github_editor,"A web-based editor for github repositories. A bit like prose.io",2015-02-04 13:05:23 UTC,2015-03-10 16:19:35 UTC
theodi/odi-slackbot,"Your friendly neigbourhood Slackbot",2015-02-06 08:46:06 UTC,2015-02-09 08:56:53 UTC
theodi/pathway,"Map your organisation's pathway to open data success",2015-02-16 10:24:48 UTC,2018-05-24 12:01:07 UTC
theodi/dirty_harry,"A quick and dirty wrapper around the http://csvlint.io webservice",2015-03-11 15:51:24 UTC,2015-03-11 16:17:37 UTC
theodi/ukan-course,"Anonymisation course",2015-03-23 15:22:54 UTC,2016-07-13 12:46:42 UTC
theodi/ODI-eLearning,"The eLearning repo for UKODI",2015-04-30 12:53:30 UTC,2018-04-05 14:17:14 UTC
theodi/nodes_map,"A interactive map of the ODI node network",2015-05-13 13:21:23 UTC,2016-10-25 12:51:18 UTC
theodi/arts_diversity_dashboard,"Examining diversity in the arts via a dashboard",2015-05-13 17:11:57 UTC,2015-05-13 17:12:18 UTC
theodi/Deepaligandhi-Ledger-Balance,"Ruby program to read ledger file and provide balances for each individual on given date",2015-05-26 10:31:44 UTC,2015-05-26 10:32:34 UTC
theodi/hidden-data-extractor,"Server code to examine any web page and extract data in javascript (e.g. JSON). ",2015-06-03 14:50:18 UTC,2015-07-09 12:59:49 UTC
theodi/refine-autobot,"Takes a URL for a csv and a refine operation history and performs some simple operations to help clean it. ",2015-07-10 09:48:45 UTC,2016-02-25 14:32:34 UTC
theodi/test-drive,"What even is TDDs?",2015-07-20 10:37:33 UTC,2015-07-20 13:56:30 UTC
theodi/comma-chameleon,"A desktop CSV editor for data publishers",2015-08-10 13:10:56 UTC,2018-08-14 11:00:07 UTC
theodi/odi-organogram,"Visualisations of the ODI team",2015-08-24 09:21:02 UTC,2016-01-11 13:26:43 UTC
theodi/EUeLearning,"Live deployed EDP eLearning",2015-08-24 13:04:15 UTC,2018-04-05 14:23:56 UTC
theodi/open-data-maker,"make it easy to turn a lot of potentially large csv files into easily accessible open data",2015-08-28 20:41:55 UTC,2015-08-28 20:41:56 UTC
theodi/ckan-certificate-plugin,"Open Data Certificate/CKAN integration plugin",2015-09-10 09:43:49 UTC,2016-06-03 10:47:41 UTC
theodi/odi-nodes,"The ODI Node network",2015-09-17 14:27:44 UTC,2015-09-17 14:28:02 UTC
theodi/eLm-Cordova,"eLearning Cordova environment for building mobile apps",2015-09-23 07:23:39 UTC,2018-08-11 01:19:45 UTC
theodi/csvlint.sh,"A native wrapper for CSVlint.rb using Traveling Ruby",2015-10-20 15:27:41 UTC,2017-11-23 12:24:43 UTC
theodi/csv2json,"CSV to JSON converter",2015-10-25 14:18:56 UTC,2016-02-02 16:03:08 UTC
theodi/csv2rdf,"CSV to RDF converter",2015-10-25 17:45:07 UTC,2017-05-16 07:45:18 UTC
theodi/bundle-configs,"how to bundle",2015-11-27 10:37:24 UTC,2015-11-27 10:41:46 UTC
theodi/foodchain,"Food safety inspections in a blockchain, because why not?",2016-01-08 11:03:10 UTC,2016-01-14 14:03:52 UTC
theodi/abm-information-economy,"Agent-based modelling of the information economy",2016-02-09 09:28:48 UTC,2018-03-27 08:10:54 UTC
theodi/britains_diet,"The British diet has undergone a transformation in the last half-century. Traditional staples such as eggs, potatoes and butter have gradually given way to more exotic or convenient foods such as aubergines, olive oil and stir-fry packs. Explore the changes across four decades and hundreds of food and drink categories in this interactive visualisation.",2016-02-17 09:26:01 UTC,2016-08-11 17:23:08 UTC
theodi/odi_summit_2016,"ODI Summit 2016 website",2016-02-23 08:45:29 UTC,2016-02-24 09:45:33 UTC
theodi/cache-buster,"Who you gonna call?",2016-03-07 10:16:22 UTC,2016-03-07 10:18:17 UTC
theodi/useless-gem,"Just here for the testing",2016-03-09 14:29:16 UTC,2016-03-09 14:29:34 UTC
theodi/henry,"Continuously deploy your Rubygems via Travis",2016-03-09 16:01:33 UTC,2017-04-12 05:27:27 UTC
theodi/learndata.info,"Website hosting for domain",2016-03-18 11:08:11 UTC,2018-07-04 16:11:47 UTC
theodi/lga.learndata.info,"LGA eLearning Modules",2016-03-29 14:16:32 UTC,2018-06-01 08:20:38 UTC
theodi/tanzania.learndata.info,"Learning platform for Tanzania",2016-03-30 16:15:10 UTC,2016-03-30 16:17:10 UTC
theodi/membership,"Logic, tests and stories for the membership system",2016-05-31 08:57:03 UTC,2016-06-03 12:49:06 UTC
theodi/dlab.learndata.info,"Repository for DLab eLearning modules at dlab.learndata.info",2016-07-12 14:31:45 UTC,2018-08-10 18:09:08 UTC
theodi/sainsburys.learndata.info,"Module hosting for Sainsburys eLearning",2016-07-20 13:35:36 UTC,2016-07-20 14:28:41 UTC
theodi/adapt-skillsFramework,"ODI Skills framework extension for adapt eLearning v2",2016-08-21 09:45:50 UTC,2016-08-21 09:54:29 UTC
theodi/adapt-contrib-drawerPageNavigation,"Adapt2 extension that add a navigation element to the drawer allowing users to get between pages without having to return to the main menu",2016-08-22 11:07:19 UTC,2017-02-24 18:24:59 UTC
theodi/LRS,"The Learning Records System",2016-08-23 15:28:17 UTC,2017-06-03 14:09:20 UTC
theodi/csv2schema,"Automagically generate a JSON table schema file to go with a CSV file. Inspired by Stuart Lowe's JSON Table Schema Generator at ODI Leeds.",2016-09-02 10:46:14 UTC,2016-09-03 16:56:29 UTC
theodi/json_schema,"A JSON Schema V4 and Hyperschema V4 parser and validator.",2016-09-07 11:08:59 UTC,2016-09-07 11:09:00 UTC
theodi/idb.learndata.info,"IDB open innovation model",2016-09-26 11:31:26 UTC,2016-10-05 10:55:54 UTC
theodi/find_a_standard,"A tool to help find open data standards",2016-09-27 10:23:24 UTC,2017-01-05 14:08:07 UTC
theodi/strategy.learndata.info,"Strategy module",2016-09-27 10:43:53 UTC,2016-09-27 11:10:42 UTC
theodi/toolbox,"This repository powers the ODI Toolbox Website, a suite of open data applications. ",2016-09-27 13:17:32 UTC,2017-11-15 06:33:47 UTC
theodi/adapt-contrib-socialbuttons,"Adds a set of social network links to a page. This is a component you can add to a block. Built for adapt 2 and works with the authoring tool.",2016-10-05 13:08:29 UTC,2017-02-24 18:25:39 UTC
theodi/adapt-contrib-aboutPage,"A simple about page that uses tutor to show some information about the whole course",2016-10-05 15:39:31 UTC,2017-02-24 18:29:17 UTC
theodi/adapt-theme-wbtz,"Tanzania (World bank) theme for Adapt 2 modules",2016-10-08 11:03:24 UTC,2018-01-22 18:47:44 UTC
theodi/opendata-quality-review,"Report and notes from a review of open data quality",2016-10-26 09:17:02 UTC,2016-12-21 20:34:51 UTC
theodi/bothan-deploy,"Many Bothans",2016-11-01 13:21:00 UTC,2016-11-01 13:27:07 UTC
theodi/moment-parseformat,"A moment.js plugin to extract the format of a date/time string",2016-11-03 17:21:30 UTC,2016-11-03 17:21:31 UTC
theodi/JSONSchema,"Auto-magically create a JSON schema for a CSV file",2016-11-04 09:49:51 UTC,2016-11-04 09:49:52 UTC
theodi/create.learndata.info,"Backup location for the create.learndata.info content. This repo is not intended to be used directly! ",2016-11-28 10:39:54 UTC,2016-11-28 10:59:01 UTC
theodi/eLearning-data-backup,"Backup of the eLearning database (encrypted)",2016-11-29 12:27:20 UTC,2016-11-29 12:27:20 UTC
theodi/bothan.rb,"A Ruby client library for Bothan - https://bothan.io",2016-12-02 18:01:15 UTC,2018-01-10 07:02:19 UTC
